video_id,title,channel_name,category_name,view_count,like_count,comment_count,engagement_score,duration_seconds,thumbnail_url,published_at,processed_at
4i8NASWyuQA,Kaattu Thottappol | Patriot Movie | Sushin Shyam | iSai | Kapil Kapilan | Anwar Ali,Sushin Shyam,Music,632615,7490,844,1.3173889332374351,256,https://i.ytimg.com/vi/4i8NASWyuQA/hqdefault.jpg,2026-03-12 11:30:06+00:00,2026-03-15 09:47:54.859724
Pgcn8246RVY,🔴GTA V LIVE | LOS SANTOS CHAOS AND RACING🔥 #shortsfeed #shortslive #gta #shorts #live #gta5,ADITYAISLIVE,Gaming,466021,2093,0,0.4491213915252746,6224,https://i.ytimg.com/vi/Pgcn8246RVY/hqdefault.jpg,2026-03-14 03:04:19+00:00,2026-03-15 09:47:54.859724
l4Bd2YPQ6vw,గోవింద నామాలు | Govinda Hari Govinda | Sri Venkateswara Swamy Songs | Govinda Namalu Full Telugu,Telugu Bhakti 24x7,Music,54222,234,16,0.46106746339124344,2042,https://i.ytimg.com/vi/l4Bd2YPQ6vw/hqdefault.jpg,2026-03-13 22:30:26+00:00,2026-03-15 09:47:54.859724
GJZhw03g0Fg,100 Serbian Dancing Lady Dances in Franklin’s House,Nadyummy,Gaming,168289,6086,192,3.7304874353047435,1452,https://i.ytimg.com/vi/GJZhw03g0Fg/hqdefault.jpg,2026-03-12 10:30:09+00:00,2026-03-15 09:47:54.859724
Wgd6ACl7FRQ,TATEEREE | Mhare Ri Mandere Pe Boli He Tatiri | Gurpeet Kaur | Badshah | New Haryanvi Song 2026,Haryanvi Star Records,Music,305997,14509,1150,5.1173704317362585,171,https://i.ytimg.com/vi/Wgd6ACl7FRQ/hqdefault.jpg,2026-03-12 03:30:18+00:00,2026-03-15 09:47:54.859724
J91gCs9smJ4,Franklin Building A Tree House For The First Time Ever in GTA 5 in Telugu | SHINCHAN and CHOP,GOPI FF,Gaming,31018,369,5,1.2057514991295377,1529,https://i.ytimg.com/vi/J91gCs9smJ4/hqdefault.jpg,2026-03-14 11:04:00+00:00,2026-03-15 09:47:54.859724
xZiNXDSzsx4,तीन बाण के धारी | छोटू सिंह रावणा | New Bhajan | Khatu Shyam | Teen Ban Ke Dhari | Chotu Singh Rawna,Mithila Mati ,Music,97607,870,53,0.9456288995666294,1931,https://i.ytimg.com/vi/xZiNXDSzsx4/hqdefault.jpg,2026-03-11 23:45:08+00:00,2026-03-15 09:47:54.859724
y1rtNrNuT8A,GRANNY 1 KHELE 🔥 #shortsfeed #shortslive #chainedtogethergame #shorts #live #wormateio #granny,RageGod fps,Gaming,113069,2695,0,2.3835003405000483,4675,https://i.ytimg.com/vi/y1rtNrNuT8A/hqdefault_live.jpg,2026-03-15 01:35:35+00:00,2026-03-15 09:47:54.859724
1QXofumYvMo,तीन बाण के धारी | छोटू सिंह रावना | Khatu shyam New bhajan | Teen baan ke Dhari | Chotu Singh Rawna,7S BEATS,Music,145483,1153,68,0.839273317157331,387,https://i.ytimg.com/vi/1QXofumYvMo/hqdefault.jpg,2026-03-05 23:45:01+00:00,2026-03-15 09:47:54.859724
Rni3YhixWoQ,AAJ HOGA GAMEPLAY! | JANWAR GAMEPLAY | WMAX | BGMI LIVE,Max Gaming,Gaming,142753,7788,20,5.46958732916296,17384,https://i.ytimg.com/vi/Rni3YhixWoQ/hqdefault.jpg,2026-03-14 20:11:50+00:00,2026-03-15 09:47:54.859724
SpEUvFD-e5U,Game - Surjit Bhullar | Mista Baaz | Bittu Cheema | Latest Punjabi Song 2026,Surjit Bhullar,Music,553455,38233,653,7.026045477952136,193,https://i.ytimg.com/vi/SpEUvFD-e5U/hqdefault.jpg,2026-03-13 04:29:14+00:00,2026-03-15 09:47:54.859724
WVe_ssTWNlU,Franklin Touch Anything Become Diamond Gold Life! in GTA 5 in Telugu | SHINCHAN and CHOP,Pennem Star,Gaming,165264,1703,20,1.042574305353858,1454,https://i.ytimg.com/vi/WVe_ssTWNlU/hqdefault.jpg,2026-03-12 11:04:19+00:00,2026-03-15 09:47:54.859724
0bLgv3R-THY,Kabhi Shaam Dhale,CXAND - Topic,Music,933717,6047,0,0.6476266363362775,275,https://i.ytimg.com/vi/0bLgv3R-THY/hqdefault.jpg,2026-03-09 21:43:22+00:00,2026-03-15 09:47:54.859724
9fyrGKa9kgI,Tommy's Deadly Trap For Michael | Gta V Gameplay #639,Insane Gaming With Mayank,Gaming,183224,12158,319,6.809697419552024,2709,https://i.ytimg.com/vi/9fyrGKa9kgI/hqdefault.jpg,2026-03-13 13:30:10+00:00,2026-03-15 09:47:54.859724
_jkqmQun8No,Taro Moh Na Melay - 4K Video - Gopal Bharwad - તારો મોહ ના મેલાય - New Gujarati Sad Song 2026,Jigar Studio,Music,94350,3779,115,4.127186009538951,500,https://i.ytimg.com/vi/_jkqmQun8No/hqdefault.jpg,2026-03-13 01:30:06+00:00,2026-03-15 09:47:54.859724
mAXo9EbXNBc,4.3 UPDATE IS HERE IN BGMI SOLO VS SQUAD🔥 #bgmi #bgmilive #shortsfeed #shortslive,NeonXPawanOP,Gaming,142348,3297,0,2.3161547756203107,15525,https://i.ytimg.com/vi/mAXo9EbXNBc/hqdefault.jpg,2026-03-14 19:26:33+00:00,2026-03-15 09:47:54.859724
i9ZHedoeHwE,#Video | #नीलकमल सिंह | धरS कमर राजा जी | #Neelkamal Singh | Shrishti Uttrakhandi | Bhojpuri Song,DB Bhojpuri,Music,338054,473,4,0.14110171747708947,228,https://i.ytimg.com/vi/i9ZHedoeHwE/hqdefault.jpg,2026-03-09 06:30:00+00:00,2026-03-15 09:47:54.859724
